Status,Reason To Go,Reason To Go - Category,Reason To Go - All Tags,Reason Not To Go,Reason Not To Go - Category,Reason Not To Go - All Tags,What Would Help
No,,,,Good for my son to go without me.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Confidence in my kid,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Not needed,Not Needed,Not Needed,
No,,,,I still have younger children to save for.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,I think it is better for him,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Want my son to have his own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,"I love teenagers, people in other cultures, and I love travel.",Love of Travel / Culture,Love of Travel / Culture,,,,
Yes,"My husband wanted someone to go with our daughter, but I also wanted to experience this piece of heaven. I love teenagers!",Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,The cost. Would have loved to go as a parent but it just wasn't in our budget,Cost / Finances,Cost / Finances,
No,,,,Friends with experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,Could go with my son,Other / Uncategorized,,,,,
No,,,,Time away from work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Thought my daughter would have a better experience with out me,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,,,,
No,,,,Our son needs an independent experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,I have 4 other kiddos at home that need me,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,cost,Cost / Finances,Cost / Finances,
No,,,,my daughter does not want me to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Wanted my son to go alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
Yes,My daughter asked me ro go,Child/Spouse Asked Them to Go,Child/Spouse Asked Them to Go,,,,
No,,,,I want to fill up my time with something fun that makes me happy and is productive. I am also excited to experience the beauty of OBX,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,My job and time off. I would really love to go another year.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"I wanted my daughter to have this experience on her own. I wanted her to rely on her group rather than me, to help her build stronger connections with other builders & the trip leaders.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience; Other Life Commitment,
No,,,,Younger kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Daughter asked me not to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,"I really wanted to go, my son was cool with me going, but the Spirit said he needed to do this without me.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Work schedule is not compatible with the HXP schedule.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"Cost & time away from other kids, also excited for my son to do this without me",Cost / Finances,Cost / Finances; Work Schedule / Time Off; Other Kids / Family at Home; Wants Child to Have Independent Experience,
Maybe,,,,,,,Cost
No,,,,Private time for him,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Work obligations,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My child wanted to go on her own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,Previous trips,Previous Positive Experience,Previous Positive Experience,,,,
No,,,,Time/ son coming home from a mission,Work Schedule / Time Off,Work Schedule / Time Off; Other Life Commitment,
Yes,I have been before and love it.,Previous Positive Experience,Previous Positive Experience,,,,
Yes,The Q&A night,Trust in the HXP Program,Trust in the HXP Program,,,,
No,,,,My husband is going as the male parent builder,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,Time and money,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,,,,
No,,,,Just the timing with life and having other kids at home.,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Other kids at home.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,I want my son To have this experience alone.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Wanted my son to be on his own,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Maybe,,,,,,,If it was less expensive
No,,,,I wanted my daughter to have an experience where she needed to learn to rely on herself instead of her parents,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"$$, otherwise, I'd love to go. We could only afford for our youth to go.",Cost / Finances,Cost / Finances,
No,,,,I want my son to have an independent experience away from parents.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,My husband and I have both been trip builders before. Our son wanted the experience of going without parents :),Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,This is my son's experience. He always has his parents in tow on church functions.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My child wanted to go alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My child,Family's Own Choice (No Elaboration),Family's Own Choice (No Elaboration),
No,,,,I think my daughter was excited to do this on her own - without her dad or I having to be part of it.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Timing & cost,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,The expense,Cost / Finances,Cost / Finances,
No,,,,My daughter really wanted to have an independent experience and go on her own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Wanting to let my son have his own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Time and money,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Price,Cost / Finances,Cost / Finances,
No,,,,Availability,Work Schedule / Time Off,Work Schedule / Time Off,
Maybe,,,,,,,
No,,,,,,,
No,,,,My little kids at home.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My child wanted to go alone and I have younger children,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Time away from work and wanted son to have his own experience.,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
Yes,My wife went with our son last year.,Previous Positive Experience,Previous Positive Experience,,,,
No,,,,Wanted my daughter to have as much autonomy while on her trip.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,"Desire to spend time with my daughter doing something important, memorable and impactful.",Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,Work obligations,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My child needed to do this without a parent,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I don't enjoy being responsible for other people's kids,Not a Traveler / Personal Preference,Not a Traveler / Personal Preference,
Yes,Desire to spend time with my son and to have an adventure.,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Love of Travel / Culture,,,,
No,,,,,,,
No,,,,My daughter didn't want us to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Personally not adventurous and comfortable,Not a Traveler / Personal Preference,Not a Traveler / Personal Preference,
Yes,"I wanted my son to go, and there was not a spot for him. The spot was freed up when I agreed to go as a parent builder. And I have a brother-in-law who went as a parent builder and had nothing but fantastic things to say about his experience.",Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,We thought it would be a better experience for him to go alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Big church callings have required us to always be at camps and other activities for our children. Our son needs a chance to be able to go out and experience life on his own without mom and dad there.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience; Other Life Commitment,
No,,,,Busy schedule,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,can't make it work with kids at home,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,"We wanted our daughter to have an experience on her own, I have been at every camp etc she has been to. :)",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Other kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Not the right season of my life. I still have little kids at home. I also think for my particular child she will have a better experience on her own.,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Sibling had a great experience,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Money. Also our child needs to learn to do things without his parents there.,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
No,,,,To the parent expo? I must not have been paying attention because I didn't know about it.,Not Aware It Was an Option,Not Aware It Was an Option,
No,,,,I want my son to learn that he can be independent of me and have his own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I wanted my daughter to have an independent experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,My daughter wouldn't go with me,Concerned About Child Going Alone / Safety,Concerned About Child Going Alone / Safety,,,,
No,,,,learning to know and serve people who are having a different life experience from us.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,cost and family responsibility at home,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,"Cost mainly. Also, we want our child to have an experience away from family.",Cost / Finances,Cost / Finances; Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,My husband is going with our daughter instead,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,money and time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,"I want my son to experience being away from his parents and make connections, make decisions and be his own person on the trip.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Too many kids back home to take care of.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,"Time commitment, availability, and I want my son to have an experience away from me",Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,Costs. My husband went before and loved it. If it wasn't so expensive I would have gone!,Cost / Finances,Cost / Finances; Another Family Member Going Instead,
No,,,,I'm not good with teenagers,Not a Traveler / Personal Preference,Not a Traveler / Personal Preference,
No,,,,I think the experience will be fuller without mom or dad there.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,The destination country and the service opportunity,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Money,Cost / Finances,Cost / Finances,
Maybe,,,,,,,Cost and destination choice.
No,,,,,,,
No,,,,Mostly financial… also wanted her to get to do something independently,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
No,,,,Felt my daughter needed the chance to go out on her own,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,My sibling went. Health concerns for my child.,Concerned About Child Going Alone / Safety,Concerned About Child Going Alone / Safety,,,,
No,,,,My daughter wanted this to be her experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,I have other kids at home and too many obligations to leave,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,cost,Cost / Finances,Cost / Finances,
No,,,,Child wants to be independent and want to give them that opportunity.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,Money.,Cost / Finances,Cost / Finances,
No,,,,,,,
No,,,,Work and family responsibilities,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,the price was the main factor,Cost / Finances,Cost / Finances,
Yes,My son and wife asked me if I would like to participate as a Parent Builder... You don't say No to that kind of invitation... I was on it!,Child/Spouse Asked Them to Go,Child/Spouse Asked Them to Go,,,,
No,,,,Money and letting my daughter have her own experience,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
Maybe,,,,,,,
No,,,,My daughter didn't want me to go with her,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,My daughter did not want me to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Mom was already full,Trip / Spot Was Already Full,Trip / Spot Was Already Full; Another Family Member Going Instead,
No,,,,Cost of the trip was too expensive for both of us to go,Cost / Finances,Cost / Finances,
Yes,I love to travel and love what HXP does to help.,Love of Travel / Culture,Love of Travel / Culture,,,,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,3 other kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,,,,
No,,,,Additional Cost,Cost / Finances,Cost / Finances,
No,,,,Not enough vacation time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Time availability. Two working parents don't have time available off work to commit to such a big trip.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Other commitments and wanting to give son space,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,my child,Family's Own Choice (No Elaboration),Family's Own Choice (No Elaboration),
No,,,,I have 6 younger children at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,Daughter wanted to go alone.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,I'm impressed by the HXP program and know we'll be in good hands.,Trust in the HXP Program,Trust in the HXP Program,,,,
No,,,,My child wouldn't want me there,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,My kids. They didn't want me to go. They wanted to experience it themselves without me getting a birds eye view.,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come; Wants Child to Have Independent Experience,
No,,,,Money and time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Our daughter didn't want us to go with her =),Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,schedule with work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Other obligations at home,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"Health issues, other children at home",Other Kids / Family at Home,Other Kids / Family at Home; Health / Physical / Age,
No,,,,Time and $ and expired passport,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,We think it would be great for our son to go without one of us. My older son went last year with my husband.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,I'm deaf and I believe it would be difficult to communicate with the group.,Health / Physical / Age,Health / Physical / Age,
No,,,,,,,
No,,,,Work obligations,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Can't make it.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Time demands,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,My son did not want me to go with him,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
Yes,,,,,,,
No,,,,,,,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I have young children at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Too many other kids at home that I can't leave,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Let my daughter have her own experience with me,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My son did not want me to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Cost and I already went with another child,Cost / Finances,Cost / Finances; Other Kids / Family at Home,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,too expensive to pay for my child and myself. I also think this is a great opportunity for her to do this on her own.,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
No,,,,"Other obligations this year, but I hope to go in the future!",Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I want my daughter to have an independent experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I can't leave my other children.,Other Kids / Family at Home,Other Kids / Family at Home,
Maybe,,,,,,,"This year my son wanted to go alone. But on our way to drop him off at LAX for Fiji Nadi 1, he asked if I would go with him on a trip next year. I'm surprised he wanted me to go! So I'll definitely consider it for next year."
No,,,,I'm not adventurous enough. I don't do well being away from home for that long. Also I want my child to have their own experience without me there.,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience; Not a Traveler / Personal Preference,
No,,,,Expense,Cost / Finances,Cost / Finances,
No,,,,Too busy with other kids,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Son didn't want me to!,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Work commitments,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I think it would be better for my daughter to be on her own experiencing this!,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,son wanted to see how he could do being away from us in preparing for leaving on a mission next summer.,Other Life Commitment,Other Life Commitment,
Maybe,,,,,,,
No,,,,"Too many thing going on at home, and cost.",Cost / Finances,Cost / Finances,
No,,,,I attended as a parent builder with my daughter in Malawi 2022. We absolutely loved it. My son wanted to go on a trip independently this time. I hope to go again sometime!,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,my son didn't ask me to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,More kids at home.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,we wanted our child to be able to enjloy this experience on her own without us - we feel that she will have a much better experience being able to go and meet new people and feel independent of parental influence,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Money and time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,,,,
No,,,,I have other children at home and it is too long to leave them. My so. Also wanted an experience just for himself.,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,I wanted my daughter to have this experience on her own before she moves out of state for college in the fall. Trying her first time away from home this long in preparation for moving out of state. We will miss her greatly.,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home; Wants Child to Have Independent Experience; Other Life Commitment,
No,,,,Cost.,Cost / Finances,Cost / Finances,
Yes,Someone at hxp and my daughter,Other / Uncategorized,,,,,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,"I have other children at home to care for. Also, the cost is too high for me to go as well.",Cost / Finances,Cost / Finances; Other Kids / Family at Home,
No,,,,Our girls (we have 2 going) needed to push themselves out of their comfort zones & we thought that that would not happen if we were there. They would hold back getting to know others & just stick closer to us.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,My child,Family's Own Choice (No Elaboration),Family's Own Choice (No Elaboration),
No,,,,My child didn't really want me to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,I have other kids at home I need to be here for,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Time of year,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,I have younger kids at home that need me.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Physical limitations,Health / Physical / Age,Health / Physical / Age,
Yes,Love HXP and what they offer,Trust in the HXP Program,Trust in the HXP Program,,,,
No,,,,,,,
No,,,,My child wanted to go without a parent.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Time constraints with working,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,Younger kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,,,,
No,,,,time commitment,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"Our daughter really wanted to go on her own, after reading on the website why it's good to go without friends. She decided without a parent would be good too. Haha!",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,spending time with my son,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,Other children and church calling.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Mostly because it is a trip my kids want to do with out us. And it's expensive,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
No,,,,Work schedule,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,It was full,Trip / Spot Was Already Full,Trip / Spot Was Already Full,
No,,,,Not a huge fan of traveling.,Not a Traveler / Personal Preference,Not a Traveler / Personal Preference,
No,,,,Cost & time committment,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,,,,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,I have other small kids so it's not feasible at this time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,I want my kids to have an experience without their own parents there.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Got asked last minute and had other travel plans,Other Life Commitment,Other Life Commitment,
No,,,,My son didn't want me to. He wanted his own experience. 🤣,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come; Wants Child to Have Independent Experience,
Yes,Having this experience to share with my daughter,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,My son's independece,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
Yes,Previous children went on HXP,Previous Positive Experience,Previous Positive Experience,,,,
No,,,,Children at home.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,I've done it before and it was awesome. But I can't afford it.,Cost / Finances,Cost / Finances,
No,,,,You her son at home,Other Kids / Family at Home,Other Kids / Family at Home,
Yes,Daughter/cause,Other / Uncategorized,,,,,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Let me child go alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Location,Other / Uncategorized,,
No,,,,Our daughter didn't want a parent to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
